,Co_Code,Symbol,IdxStart_Date,IdxEnd_Date,StockChange,IndexChange,StkSDate,FirstClose,StkEDate,LastClose,Index,IndexDate,TypeTorB,IndexDaysDifference,IndexClose
84,100,OAL,2020-03-24,2024-09-27,295.72,249.85,2020-03-24,129.65,2024-09-27,513.05,NIFTY,2024-09-27,Top,1648.0,26178.95
85,100,OAL,2024-09-27,2025-03-04,-44.68,-16.41,2024-09-27,513.05,2025-03-04,283.8,NIFTY,2025-03-04,Bottom,158.0,22082.65
86,100,OAL,2025-03-04,2025-03-28,-2.7,7.67,2025-03-04,283.8,2025-03-28,276.15,NIFTY,2025-03-28,Top,24.0,23519.35
87,233,HARRMALAYA,2006-06-14,2008-01-08,46.06,144.91,2006-07-03,82.4,2008-01-08,120.35,NIFTY,2008-01-08,Top,573.0,6287.85
88,233,HARRMALAYA,2008-01-08,2008-10-27,-62.9,-64.56,2008-01-08,120.35,2008-10-27,44.65,NIFTY,2008-10-27,Bottom,293.0,2524.2
89,233,HARRMALAYA,2008-10-27,2015-03-04,8.73,304.8,2008-10-27,44.65,2015-03-04,48.55,NIFTY,2015-03-04,Top,2319.0,8922.65
90,233,HARRMALAYA,2015-03-04,2016-02-29,-17.3,-25.15,2015-03-04,48.55,2016-02-29,40.15,NIFTY,2016-02-29,Bottom,362.0,6987.05
91,233,HARRMALAYA,2016-02-29,2020-01-20,58.41,82.11,2016-02-29,40.15,2020-01-20,63.6,NIFTY,2020-01-20,Top,1421.0,12224.55
92,233,HARRMALAYA,2020-01-20,2020-03-24,-22.17,-39.58,2020-01-20,63.6,2020-03-24,49.5,NIFTY,2020-03-24,Bottom,64.0,7801.05
93,233,HARRMALAYA,2020-03-24,2024-09-27,386.44,249.85,2020-03-24,49.5,2024-09-27,240.79,NIFTY,2024-09-27,Top,1648.0,26178.95
94,233,HARRMALAYA,2024-09-27,2025-03-04,-23.92,-16.41,2024-09-27,240.79,2025-03-04,183.19,NIFTY,2025-03-04,Bottom,158.0,22082.65
95,233,HARRMALAYA,2025-03-04,2025-03-28,11.56,7.67,2025-03-04,183.19,2025-03-28,204.37,NIFTY,2025-03-28,Top,24.0,23519.35
96,1058,ESTER,2008-10-27,2015-03-04,-58.35,304.8,2011-06-20,43.7,2015-03-04,18.2,NIFTY,2015-03-04,Top,2319.0,8922.65
97,1058,ESTER,2015-03-04,2016-02-29,102.2,-25.15,2015-03-04,18.2,2016-02-29,36.8,NIFTY,2016-02-29,Bottom,362.0,6987.05
98,1058,ESTER,2016-02-29,2020-01-20,11.55,82.11,2016-02-29,36.8,2020-01-20,41.05,NIFTY,2020-01-20,Top,1421.0,12224.55
99,1058,ESTER,2020-01-20,2020-03-24,-36.78,-39.58,2020-01-20,41.05,2020-03-24,25.95,NIFTY,2020-03-24,Bottom,64.0,7801.05
100,1058,ESTER,2020-03-24,2024-09-27,504.82,249.85,2020-03-24,25.95,2024-09-27,156.95,NIFTY,2024-09-27,Top,1648.0,26178.95
101,1058,ESTER,2024-09-27,2025-03-04,-17.12,-16.41,2024-09-27,156.95,2025-03-04,130.08,NIFTY,2025-03-04,Bottom,158.0,22082.65
102,1058,ESTER,2025-03-04,2025-03-28,-7.61,7.67,2025-03-04,130.08,2025-03-28,120.18,NIFTY,2025-03-28,Top,24.0,23519.35
103,92,BORORENEW,2016-02-29,2020-01-20,-18.93,82.11,2018-05-25,51.73,2020-01-20,41.94,NIFTY,2020-01-20,Top,1421.0,12224.55
104,92,BORORENEW,2020-01-20,2020-03-24,-29.54,-39.58,2020-01-20,41.94,2020-03-24,29.55,NIFTY,2020-03-24,Bottom,64.0,7801.05
105,92,BORORENEW,2020-03-24,2024-09-27,1565.14,249.85,2020-03-24,29.55,2024-09-27,492.05,NIFTY,2024-09-27,Top,1648.0,26178.95
106,92,BORORENEW,2024-09-27,2025-03-04,6.13,-16.41,2024-09-27,492.05,2025-03-04,522.2,NIFTY,2025-03-04,Bottom,158.0,22082.65
